"papel","cotacao","pl","pvp","psr","div_yield","p_ativo","p_cap_giro","p_ebit","p_ativ_circ_liq","ev_ebit","mrg_ebit","mrg_liq","liq_corr","roic","roe","liq_2meses","patrim_liq","div_brut_patrim","cresc_rec_5a","setor","subsetor","empresa","tipo"
"PALF11","125,00","0,97","0,10","0,014","0,00%","0,012","-0,16","0,17","-0,03","4,69","7,98%","1,43%","0,84","9,77%","9,95%","0,00","1.136.760.000,00","3,80","6,27%","","","CPFL PRC","PRC"
"MMAQ4","200,06","1,11","0,08","0,042","20,80%","0,062","0,09","-1,01","0,09","4,25","-4,11%","3,73%","4,07","-10,91%","7,04%","0,00","114.807.000,00","0,00","-7,77%","Comércio","Material de Transporte","MINASMÁQUINAS S/A PN","PN"
"TSPP4","9,05","1,24","0,37","0,188","0,00%","0,162","-4,02","0,85","-0,65","1,30","22,01%","15,20%","0,89","23,92%","29,88%","0,00","9.816.290.000,00","0,35","13,06%","Telefonia Móvel","Telefonia Móvel","VIVO PARTICIPAÇÕES PN","PN"
"CORR4","80,00","1,50","0,46","0,530","0,00%","0,111","0,14","2,46","4,29","-6,06","21,53%","35,25%","38,91","7,31%","30,85%","0,00","3.997.000,00","0,00","13,71%","Exploração de Imóveis","Exploração de Imóveis","CORREA RIBEIRO SA COM. IND. PN","PN"
"PRIO3","46,90","1,51","0,66","1,280","0,00%","0,449","0,95","-17,54","1,34","-4,50","-7,30%","84,66%","3,48","-5,28%","43,96%","1.422.890,00","930.824.000,00","0,21","137,52%","Petróleo, Gás e Biocombustíveis","Exploração e/ou Refino","PETRORIO ON","ON"
"TSPP3","12,60","1,72","0,51","0,262","0,00%","0,225","-5,59","1,19","-0,91","1,63","22,01%","15,20%","0,89","23,92%","29,88%","0,00","9.816.290.000,00","0,35","13,06%","Telefonia Móvel","Telefonia Móvel","VIVO PARTICIPAÇÕES ON","ON"
"TRPL3","60,00","1,80","0,92","1,141","2,76%","0,609","5,29","1,24","-3,36","1,37","92,01%","63,69%","4,76","49,97%","51,13%","34.853,80","10.744.100.000,00","0,12","38,69%","Energia Elétrica","Energia Elétrica","TRANSMISSÃO PAULISTA ON N1","ON N1"
"PALF5","236,60","1,84","0,18","0,026","0,00%","0,023","-0,31","0,33","-0,05","4,84","7,98%","1,43%","0,84","9,77%","9,95%","0,00","1.136.760.000,00","3,80","6,27%","","","CPFL PNA","PNA"
"PLIM4","0,59","1,89","0,03","0,020","0,00%","0,016","-0,51","0,17","-0,05","1,50","11,93%","1,55%","0,80","10,95%","1,72%","0,00","6.812.390.000,00","0,28","66,63%","Mídia","Televisão por Assinatura","NET SERVIÇOS DE COMUNICAÇÃO S.A. PN N2","PN N2"
"TRPL4","70,00","2,10","1,07","1,332","2,36%","0,710","6,18","1,45","-3,92","1,58","92,01%","63,69%","4,76","49,97%","51,13%","20.524.400,00","10.744.100.000,00","0,12","38,69%","Energia Elétrica","Energia Elétrica","TRANSMISSÃO PAULISTA PN N1","PN N1"
"PALF3","279,90","2,18","0,22","0,031","0,00%","0,027","-0,36","0,39","-0,06","4,90","7,98%","1,43%","0,84","9,77%","9,95%","0,00","1.136.760.000,00","3,80","6,27%","","","CPFL ON","ON"
"GPCP3","13,49","2,44","1,33","0,195","0,00%","0,116","0,45","9,01","-0,24","23,68","2,17%","8,47%","2,35","1,34%","54,53%","13.073,80","63.509.000,00","2,22","-2,90%","Químicos","Petroquímicos","GPC PARTICIPACOES SA ON","ON"
"CTPC4","6,50","2,48","0,03","0,000","0,00%","0,003","0,00","-0,55","0,00","-2,44","0,00%","0,00%","0,00","0,00%","1,41%","0,00","2.411.000,00","0,00","-6,10%","Alimentos","Alimentos Diversos","CTM CITRUS SA PN","PN"
"CEBR6","26,00","2,61","0,69","0,175","0,00%","0,121","-2,90","8,24","-0,32","14,01","2,12%","7,97%","0,90","1,61%","26,31%","1.713,64","545.720.000,00","0,64","8,23%","Energia Elétrica","Energia Elétrica","CEB - COMPANHIA ENERGÉTICA DE BRASÍLIA PNB","PNB"
"CEBR3","27,00","2,71","0,71","0,182","0,00%","0,126","-3,01","8,56","-0,33","14,33","2,12%","7,97%","0,90","1,61%","26,31%","885,57","545.720.000,00","0,64","8,23%","Energia Elétrica","Energia Elétrica","CEB - COMPANHIA ENERGÉTICA DE BRASÍLIA ON","ON"
"BNBR4","27,01","2,90","0,71","0,000","0,00%","0,000","0,00","0,00","0,00","0,00","0,00%","0,00%","0,00","0,00%","24,47%","0,00","3.288.520.000,00","0,00","4,49%","Financeiros","Bancos","BANCO DO NORDESTE PN","PN"
"MARI3","2,93","3,04","0,76","0,346","0,00%","0,384","0,95","4,99","1,65","4,89","6,94%","11,37%","2,23","10,67%","25,13%","0,00","706.711.000,00","0,32","11,89%","Comércio","Tecidos, Vestuário e Calçados","Marisa ON NM","ON NM"
"BNBR3","30,00","3,22","0,79","0,000","7,40%","0,000","0,00","0,00","0,00","0,00","0,00%","0,00%","0,00","0,00%","24,47%","9.863,30","3.288.520.000,00","0,00","4,49%","Financeiros","Bancos","BANCO DO NORDESTE ON","ON"
"CEBR5","33,20","3,33","0,88","0,223","0,00%","0,155","-3,70","10,52","-0,41","16,29","2,12%","7,97%","0,90","1,61%","26,31%","382,77","545.720.000,00","0,64","8,23%","Energia Elétrica","Energia Elétrica","CEB - COMPANHIA ENERGÉTICA DE BRASÍLIA PNA","PNA"
"EEEL4","115,00","3,37","0,49","0,992","12,74%","0,258","3,14","2,62","-0,86","2,92","37,90%","28,81%","1,97","10,49%","14,38%","261,36","2.294.460.000,00","0,13","14,66%","","","CEEE PN N1","PN N1"
"UNIP3","12,01","3,41","0,81","0,529","38,17%","0,278","4,14","2,73","-0,95","3,06","19,35%","15,50%","1,24","12,73%","23,78%","138.837,00","1.236.720.000,00","0,48","53,20%","Químicos","Petroquímicos","UNIPAR PARTICIPAÇÕES S.A. ON","ON"
"BRGE5","2,50","3,44","0,17","6,932","0,00%","0,057","0,30","-0,40","0,76","2,91","-1.745,69%","317,31%","1,47","-27,40%","5,03%","0,00","1.065.250.000,00","0,00","-1,22%","Financeiros","Bancos","CONSORCIO ALFA PNA","PNA"
"UNIP5","12,20","3,47","0,82","0,537","41,84%","0,282","4,20","2,78","-0,97","3,10","19,35%","15,50%","1,24","12,73%","23,78%","66.909,30","1.236.720.000,00","0,48","53,20%","Químicos","Petroquímicos","UNIPAR PARTICIPAÇÕES S.A. PNA","PNA"
"UNIP6","12,30","3,49","0,83","0,542","40,99%","0,284","4,24","2,80","-0,98","3,13","19,35%","15,50%","1,24","12,73%","23,78%","1.309.490,00","1.236.720.000,00","0,48","53,20%","Químicos","Petroquímicos","UNIPAR PARTICIPAÇÕES S.A. PNB","PNB"
"BRGE7","2,58","3,55","0,18","7,154","13,53%","0,059","0,31","-0,41","0,79","2,89","-1.745,69%","317,31%","1,47","-27,40%","5,03%","0,00","1.065.250.000,00","0,00","-1,22%","Financeiros","Bancos","CONSORCIO ALFA PNC","PNC"
"TARP11","18,02","3,66","1,09","116,039","0,00%","1,094","0,00","882,23","0,00","879,78","13,15%","3.170,05%","0,00","0,00%","29,89%","0,00","678.212.000,00","0,00","-71,36%","Holdings Diversificadas","Holdings Diversificadas","TARPON DR3","DR3"
"BOBR4","4,79","3,69","-1,20","0,243","0,00%","0,417","-1,46","2,83","-0,44","4,00","8,57%","6,59%","0,59","20,16%","-32,44%","699.036,00","-216.557.000,00","-0,67","-0,99%","Prods. de Uso Pessoal e de Limpeza","Produtos de Limpeza","BOMBRIL SA PN","PN"
"PTPA3","76,50","3,69","1,14","0,505","0,00%","0,375","2,28","3,63","-1,27","7,06","13,93%","13,69%","1,79","13,27%","30,85%","0,00","1.201.690.000,00","1,59","18,08%","Embalagens","Embalagens","PETROPAR SA ON","ON"
"TBLE6","10,65","3,83","0,97","1,060","0,00%","0,469","4,89","2,54","-1,49","3,17","41,67%","27,67%","1,89","21,28%","25,37%","0,00","7.147.740.000,00","0,45","5,66%","Energia Elétrica","Energia Elétrica","ENGIE BRASIL PNB","PNB"
"PTPA4","80,00","3,86","1,19","0,528","0,00%","0,392","2,38","3,79","-1,33","7,23","13,93%","13,69%","1,79","13,27%","30,85%","0,00","1.201.690.000,00","1,59","18,08%","Embalagens","Embalagens","PETROPAR SA PN","PN"
"CRPG6","16,62","3,97","0,87","0,633","1,87%","0,620","1,17","12,67","1,65","10,83","5,00%","15,95%","4,87","5,71%","22,01%","27.748,70","441.465.000,00","0,02","4,90%","Químicos","Químicos Diversos","CRISTAL PNB","PNB"
"VINE3","17,20","4,04","0,65","0,577","0,00%","0,340","1,38","4,52","7,60","7,40","12,76%","14,42%","1,91","8,62%","16,14%","0,00","1.118.520.000,00","0,60","2,21%","Tecidos, Vestuário e Calçados","Fios e Tecidos","VICUNHA TEXTIL SA ON","ON"
"EBEN4","17,51","4,09","0,67","0,202","0,00%","0,222","-4,53","1,96","-0,63","3,69","10,26%","4,93%","0,87","14,35%","16,50%","0,00","1.015.470.000,00","0,86","7,75%","Energia Elétrica","Energia Elétrica","BANDEIRANTE PN","PN"
"MTBR3","0,99","4,09","0,57","0,162","0,00%","0,215","1,87","4,07","3,90","2,65","3,98%","3,91%","1,21","9,92%","13,85%","0,00","2.624.550.000,00","0,11","0,77%","Utilidades Domésticas","Eletrodomésticos","WHIRLPOOL S.A. ON","ON"
"BRGE12","2,99","4,11","0,21","8,291","0,13%","0,068","0,36","-0,47","0,91","2,83","-1.745,69%","317,31%","1,47","-27,40%","5,03%","788,07","1.065.250.000,00","0,00","-1,22%","Financeiros","Bancos","CONSORCIO ALFA PNF","PNF"
"VINE5","17,64","4,14","0,67","0,592","0,00%","0,349","1,41","4,64","7,80","7,52","12,76%","14,42%","1,91","8,62%","16,14%","0,00","1.118.520.000,00","0,60","2,21%","Tecidos, Vestuário e Calçados","Fios e Tecidos","VICUNHA TEXTIL SA PNA","PNA"
"BRGE8","3,03","4,17","0,21","8,402","8,24%","0,069","0,37","-0,48","0,92","2,82","-1.745,69%","317,31%","1,47","-27,40%","5,03%","41,25","1.065.250.000,00","0,00","-1,22%","Financeiros","Bancos","CONSORCIO ALFA PND","PND"
"ESCE3","172,00","4,25","1,18","0,349","0,00%","0,303","88,43","2,03","-0,70","3,29","17,16%","8,20%","1,01","18,14%","27,70%","0,00","857.768.000,00","1,08","10,15%","Energia Elétrica","Energia Elétrica","ESCELSA ON","ON"
"CRPG5","17,90","4,28","0,94","0,682","2,35%","0,667","1,26","13,65","1,78","11,81","5,00%","15,95%","4,87","5,71%","22,01%","226.365,00","441.465.000,00","0,02","4,90%","Químicos","Químicos Diversos","CRISTAL PNA","PNA"
"DAYC4","8,90","4,30","0,76","0,000","0,00%","0,000","0,00","0,00","0,00","0,00","0,00%","0,00%","0,00","0,00%","17,69%","0,00","2.827.660.000,00","0,00","4,36%","Financeiros","Bancos","Daycoval PN N1","PN N1"
"TBLE5","12,00","4,32","1,10","1,195","0,00%","0,529","5,51","2,87","-1,68","3,49","41,67%","27,67%","1,89","21,28%","25,37%","0,00","7.147.740.000,00","0,45","5,66%","Energia Elétrica","Energia Elétrica","ENGIE BRASIL PNA","PNA"
"MTBR4","1,05","4,34","0,60","0,172","0,00%","0,229","1,99","4,32","4,13","2,90","3,98%","3,91%","1,21","9,92%","13,85%","0,00","2.624.550.000,00","0,11","0,77%","Utilidades Domésticas","Eletrodomésticos","WHIRLPOOL S.A. PN","PN"
"TCNO3","2,60","4,45","0,97","9,961","0,00%","0,070","-0,22","-6,14","-0,09","-23,57","-162,10%","223,61%","0,33","-1,43%","21,67%","138.958,00","17.832.000,00","2,74","4,80%","Construção e Engenharia","Engenharia Consultiva","TECNOSOLO S/A ON","ON"
"TCNO4","2,62","4,49","0,97","10,037","0,00%","0,070","-0,22","-6,19","-0,09","-23,62","-162,10%","223,61%","0,33","-1,43%","21,67%","789.683,00","17.832.000,00","2,74","4,80%","Construção e Engenharia","Engenharia Consultiva","TECNOSOLO S/A PN","PN"
"ESTC11","23,50","4,55","0,91","0,757","0,00%","0,563","3,72","3,76","76,97","4,51","20,12%","16,65%","1,64","17,41%","20,02%","0,00","2.735.400.000,00","0,38","21,04%","Diversos","Educacional","Estacio Part UNT N2","UNT N2"
"MNDL3","18,70","4,65","-0,54","0,393","0,00%","0,049","-0,14","4,52","-0,06","15,55","8,68%","8,27%","0,38","1,14%","-11,54%","18.049,70","-86.501.000,00","-1,35","-20,61%","Tecidos, Vestuário e Calçados","Acessórios","MUNDIAL S/A ON","ON"
"KROT4","5,12","4,69","0,57","1,533","0,00%","0,462","4,73","5,10","-18,34","4,53","30,05%","32,66%","2,46","9,96%","12,16%","0,00","14.697.000.000,00","0,03","35,86%","Diversos","Educacional","KROTON PN N2","PN N2"
"EEEL3","160,01","4,70","0,68","1,381","8,32%","0,359","4,37","3,64","-1,20","3,95","37,90%","28,81%","1,97","10,49%","14,38%","2.973,95","2.294.460.000,00","0,13","14,66%","","","CEEE ON N1","ON N1"
"MERC4","5,01","4,95","0,44","0,000","9,86%","0,000","0,00","0,00","0,00","0,00","0,00%","0,00%","0,00","0,00%","8,91%","7.361,98","204.422.000,00","0,00","12,61%","Financeiros","Soc. Crédito e Financiamento","MERCANTIL BRASIL PN","PN"
"KROT11","40,00","5,24","0,64","1,711","0,00%","0,516","5,28","5,69","-20,46","5,12","30,05%","32,66%","2,46","9,96%","12,16%","0,00","14.697.000.000,00","0,03","35,86%","Diversos","Educacional","KROTON UNT N2","UNT N2"
"BSLI3","27,50","5,24","0,83","0,000","11,05%","0,000","0,00","0,00","0,00","0,00","0,00%","0,00%","0,00","0,00%","15,77%","0,00","1.208.880.000,00","0,00","-11,12%","Financeiros","Bancos","BRB ON","ON"
"BRIV3","4,90","5,24","0,32","0,000","2,78%","0,000","0,00","0,00","0,00","0,00","0,00%","0,00%","0,00","0,00%","6,02%","14.403,70","1.381.420.000,00","0,00","-16,85%","Financeiros","Bancos","ALFA DE INVESTIMENTO ON","ON"
"BSLI4","28,00","5,33","0,84","0,000","11,94%","0,000","0,00","0,00","0,00","0,00","0,00%","0,00%","0,00","0,00%","15,77%","295,46","1.208.880.000,00","0,00","-11,12%","Financeiros","Bancos","BRB ON","ON"
"MERC3","5,50","5,44","0,48","0,000","0,00%","0,000","0,00","0,00","0,00","0,00","0,00%","0,00%","0,00","0,00%","8,91%","0,00","204.422.000,00","0,00","12,61%","Financeiros","Soc. Crédito e Financiamento","MERCANTIL BRASIL ON","ON"
"CPFG4","12,26","5,53","1,17","0,868","0,00%","0,147","-2,08","1,71","-0,23","7,75","50,68%","15,50%","0,60","9,28%","21,12%","0,00","2.155.120.000,00","4,62","14,01%","Energia Elétrica","Energia Elétrica","CPFL GERAÇÂO DE ENERGIA S/A PN","PN"
"CLSC4","20,88","5,62","0,39","0,125","0,00%","0,088","-3,08","2,37","-0,28","0,80","5,29%","2,23%","0,94","4,58%","6,90%","191.122,00","2.078.060.000,00","0,28","8,32%","Energia Elétrica","Energia Elétrica","CELESC PN N2","PN N2"
"BPIA3","6,10","5,64","1,06","0,000","0,00%","0,000","0,00","0,00","0,00","0,00","0,00%","0,00%","0,00","0,00%","18,84%","0,00","77.395.000,00","0,00","13,41%","Financeiros","Bancos","BEP ON","ON"
"DSUL3","7,95","5,65","0,97","0,879","0,00%","0,721","1,93","2,37","2,70","1,27","37,13%","16,02%","3,50","48,91%","17,25%","0,00","236.447.000,00","0,01","36,69%","Programas e Serviços","Programas e Serviços","DATASUL ON NM","ON NM"
"CPFG3","12,65","5,71","1,21","0,895","0,00%","0,151","-2,14","1,77","-0,24","7,81","50,68%","15,50%","0,60","9,28%","21,12%","0,00","2.155.120.000,00","4,62","14,01%","Energia Elétrica","Energia Elétrica","CPFL GERAÇÂO DE ENERGIA S/A ON","ON"
"PEAB3","31,32","5,72","0,81","1,197","9,17%","0,643","2,07","10,28","2,99","6,26","11,65%","20,96%","4,01","8,73%","14,10%","290,09","499.467.000,00","0,00","11,14%","Previdência e Seguros","Seguradoras","CIA. DE PARTICIPAÇÕES ALIANÇA DA BAHIA ON","ON"
"RNPT4","31,81","5,74","0,39","0,467","0,00%","0,379","57,01","56,10","57,01","56,05","0,83%","8,13%","1,38","0,68%","6,72%","0,00","63.944.000,00","0,00","4,85%","Financeiros","Bancos","RENNER PARTICIPAÇÕES S/A PN","PN"
"PEAB4","31,51","5,75","0,81","1,204","10,02%","0,647","2,09","10,34","3,01","6,32","11,65%","20,96%","4,01","8,73%","14,10%","0,00","499.467.000,00","0,00","11,14%","Previdência e Seguros","Seguradoras","CIA. DE PARTICIPAÇÕES ALIANÇA DA BAHIA PN","PN"
"RNPT3","31,87","5,75","0,39","0,468","0,00%","0,380","57,12","56,21","57,12","56,15","0,83%","8,13%","1,38","0,68%","6,72%","0,00","63.944.000,00","0,00","4,85%","Financeiros","Bancos","RENNER PARTICIPAÇÕES S/A ON","ON"
"BRGE11","4,19","5,76","0,29","11,618","7,14%","0,096","0,51","-0,67","1,28","2,64","-1.745,69%","317,31%","1,47","-27,40%","5,03%","542,82","1.065.250.000,00","0,00","-1,22%","Financeiros","Bancos","CONSORCIO ALFA PNE","PNE"
"SOND5","16,82","5,83","0,77","-1,613","0,00%","0,540","1,23","2,65","1,59","1,53","-60,81%","-27,46%","3,19","26,59%","13,20%","1.580,07","53.701.000,00","0,00","-7,07%","Construção e Engenharia","Engenharia Consultiva","SONDOTECNICA S/A. PNA","PNA"
"SOND6","17,00","5,89","0,78","-1,630","0,00%","0,545","1,24","2,68","1,60","1,56","-60,81%","-27,46%","3,19","26,59%","13,20%","77,27","53.701.000,00","0,00","-7,07%","Construção e Engenharia","Engenharia Consultiva","SONDOTECNICA S/A. PNB","PNB"
"BGIP4","34,92","5,97","1,60","0,000","9,94%","0,000","0,00","0,00","0,00","0,00","0,00%","0,00%","0,00","0,00%","26,76%","24.122,40","333.968.000,00","0,00","2,98%","Financeiros","Bancos","BANESE PN","PN"
"FESA4","15,40","6,12","0,92","1,239","9,92%","0,771","2,04","7,39","2,62","5,17","16,76%","20,30%","6,30","14,76%","14,98%","3.855.020,00","1.484.140.000,00","0,04","11,22%","Siderurgia e Metalurgia","Siderurgia","FERBASA PN","PN"
"BRGE3","4,50","6,19","0,31","12,478","0,08%","0,103","0,55","-0,71","1,37","2,59","-1.745,69%","317,31%","1,47","-27,40%","5,03%","3.501,77","1.065.250.000,00","0,00","-1,22%","Financeiros","Bancos","CONSORCIO ALFA ON","ON"
"CRPG3","26,00","6,21","1,37","0,991","0,00%","0,969","1,83","19,82","2,58","17,98","5,00%","15,95%","4,87","5,71%","22,01%","636,36","441.465.000,00","0,02","4,90%","Químicos","Químicos Diversos","CRISTAL ON","ON"
"BGIP3","38,00","6,50","1,74","0,000","8,30%","0,000","0,00","0,00","0,00","0,00","0,00%","0,00%","0,00","0,00%","26,76%","1.705,02","333.968.000,00","0,00","2,98%","Financeiros","Bancos","BANESE ON","ON"
"JBSS3","8,57","6,61","0,96","0,143","0,38%","0,224","7,68","3,44","-0,53","10,46","4,15%","2,34%","1,10","8,12%","14,57%","98.202.200,00","24.284.700.000,00","2,41","22,22%","Alimentos","Carnes e Derivados","JBS ON NM","ON NM"
"CIQU4","12,49","6,63","1,05","0,413","0,00%","0,515","3,33","4,25","7,55","7,50","9,72%","6,22%","1,36","12,70%","15,87%","0,00","296.175.000,00","0,84","16,23%","Alimentos","Café","CACIQUE PN","PN"
"CIQU3","12,49","6,63","1,05","0,413","0,00%","0,515","3,33","4,25","7,55","7,50","9,72%","6,22%","1,36","12,70%","15,87%","0,00","296.175.000,00","0,84","16,23%","Alimentos","Café","CACIQUE ON","ON"
"HGTX4","9,60","6,63","1,27","1,024","0,00%","1,008","2,00","7,90","2,11","6,96","12,96%","15,44%","3,87","16,76%","19,09%","0,00","1.227.390.000,00","0,02","-1,78%","Tecidos, Vestuário e Calçados","Vestuário","CIA HERING PN N1","PN N1"
"CLSC3","25,08","6,75","0,47","0,151","0,00%","0,106","-3,70","2,85","-0,34","1,28","5,29%","2,23%","0,94","4,58%","6,90%","57,00","2.078.060.000,00","0,28","8,32%","Energia Elétrica","Energia Elétrica","CELESC ON N2","ON N2"
"PTNT4","3,50","6,81","1,03","0,348","3,57%","0,398","4,71","3,98","-6,55","5,57","8,73%","7,99%","1,22","12,36%","15,16%","33.946,90","162.825.000,00","0,68","11,79%","Tecidos, Vestuário e Calçados","Fios e Tecidos","PETTENATI PN","PN"
"BPAC5","6,17","6,91","0,92","0,000","10,44%","0,000","0,00","0,00","0,00","0,00","0,00%","0,00%","0,00","0,00%","13,28%","4.554,57","18.024.800.000,00","0,00","-23,73%","Financeiros","Bancos","BTGP BANCO PNA","PNA"
"COCE6","35,00","6,99","1,11","0,630","0,00%","0,538","-27,63","5,35","-2,57","7,12","11,77%","9,01%","0,94","11,45%","15,90%","0,00","2.450.780.000,00","0,41","11,49%","Energia Elétrica","Energia Elétrica","CIA ENERG CEARA - COELCE PNB","PNB"
"SAPR3","8,80","7,03","0,91","1,221","6,47%","0,464","250,87","3,60","-1,25","5,36","33,90%","17,37%","1,02","13,69%","12,98%","529.427,00","4.857.290.000,00","0,54","12,94%","Água e Saneamento","Água e Saneamento","SANEPAR ON","ON"
"BEES4","3,74","7,32","0,87","0,000","5,21%","0,000","0,00","0,00","0,00","0,00","0,00%","0,00%","0,00","0,00%","11,94%","6.986,23","1.351.530.000,00","0,00","7,20%","Financeiros","Bancos","BANESTES S/A PN","PN"
"BAUH4","14,55","7,45","1,89","0,505","2,53%","0,989","5,26","4,98","7,39","3,95","10,14%","6,78%","1,44","35,07%","25,44%","20.642,50","40.102.000,00","0,01","5,88%","Alimentos","Carnes e Derivados","EXCELSIOR PN","PN"
"BEES3","3,82","7,48","0,89","0,000","5,10%","0,000","0,00","0,00","0,00","0,00","0,00%","0,00%","0,00","0,00%","11,94%","103.561,00","1.351.530.000,00","0,00","7,20%","Financeiros","Bancos","BANESTES S/A ON","ON"
"BRIV4","7,05","7,54","0,45","0,000","7,01%","0,000","0,00","0,00","0,00","0,00","0,00%","0,00%","0,00","0,00%","6,02%","16.510,10","1.381.420.000,00","0,00","-16,85%","Financeiros","Bancos","ALFA DE INVESTIMENTO PN","PN"
"FESA3","19,00","7,55","1,13","1,529","7,31%","0,951","2,51","9,12","3,23","6,90","16,76%","20,30%","6,30","14,76%","14,98%","7.422,55","1.484.140.000,00","0,04","11,22%","Siderurgia e Metalurgia","Siderurgia","FERBASA ON","ON"
"DPPI4","38,90","7,62","2,28","-0,665","0,00%","1,718","3,98","87,28","4,46","73,74","-0,76%","-5,04%","3,14","3,00%","29,97%","0,00","545.227.000,00","0,06","15,14%","Petróleo, Gás e Biocombustíveis","Distribuição de Combustíveis","IPIRANGA DISTRIBUIDORA PN","PN"
"CCTU4","37,28","7,65","0,92","0,307","0,00%","0,405","2,29","14,56","-28,32","21,77","2,10%","4,00%","1,48","2,96%","12,07%","0,00","82.550.000,00","0,48","12,54%","","","COMPANHIA BRASILEIRA DE CARTUCHOS - CBC PN","PN"
"NAFG3","19,02","7,90","0,83","0,425","3,72%","0,435","5,84","3,98","-13,32","5,72","10,67%","5,77%","1,21","12,05%","10,52%","1.348,41","310.761.000,00","0,43","5,81%","Utilidades Domésticas","Utensílios Domésticos","NADIR FIGUEIREDO ON","ON"
"TEFC11","35,50","7,91","3,70","1,116","0,00%","0,604","-5,73","4,74","-0,96","8,19","23,54%","14,18%","0,61","14,85%","46,72%","0,00","45.856.000.000,00","2,95","12,91%","Telefonia Fixa","Telefonia Fixa","TELEFÓNICA DR3","DR3"
"CRIV3","3,45","8,06","0,43","0,000","0,00%","0,000","0,00","0,00","0,00","0,00","0,00%","0,00%","0,00","0,00%","5,38%","1.901,30","820.101.000,00","0,00","4,72%","Financeiros","Soc. Crédito e Financiamento","ALFA FINANCEIRA ON","ON"
"BPAC3","7,21","8,08","1,07","0,000","8,93%","0,000","0,00","0,00","0,00","0,00","0,00%","0,00%","0,00","0,00%","13,28%","3.312,80","18.024.800.000,00","0,00","-23,73%","Financeiros","Bancos","BTGP BANCO ON","ON"
"CMET4","3,91","8,10","5,38","3,068","0,00%","3,136","9,47","5,72","13,95","5,34","53,63%","43,03%","2,64","81,40%","66,40%","0,00","2.847.970.000,00","0,18","30,18%","","","CAEMI PN","PN"
"RDTR3","6,30","8,11","1,37","0,000","0,00%","1,320","0,00","-1.919,75","0,00","-1.897,05","0,00%","0,00%","0,00","0,00%","16,95%","0,00","497.092.000,00","0,00","0,00%","Equipamentos Elétricos","Equipamentos Elétricos","REDENTOR ON NM","ON NM"
"ABCB4","17,90","8,19","1,10","0,000","5,98%","0,000","0,00","0,00","0,00","0,00","0,00%","0,00%","0,00","0,00%","13,44%","7.611.970,00","3.089.920.000,00","0,00","10,23%","Financeiros","Bancos","ABC Brasil PN N2","PN N2"
"SAPR4","10,39","8,30","1,08","1,442","6,02%","0,547","296,20","4,25","-1,47","6,01","33,90%","17,37%","1,02","13,69%","12,98%","28.795.300,00","4.857.290.000,00","0,54","12,94%","Água e Saneamento","Água e Saneamento","SANEPAR PN","PN"
"NAFG4","20,00","8,31","0,87","0,447","3,53%","0,457","6,14","4,19","-14,00","5,92","10,67%","5,77%","1,21","12,05%","10,52%","3.957,86","310.761.000,00","0,43","5,81%","Utilidades Domésticas","Utensílios Domésticos","NADIR FIGUEIREDO PN","PN"
"AGIN3","5,29","8,46","1,23","1,816","0,00%","0,565","1,29","10,92","3,55","14,68","16,63%","21,83%","2,72","5,59%","14,56%","0,00","1.028.210.000,00","0,55","44,17%","Construção e Engenharia","Construção Civil","Agra Incorp ON NM","ON NM"
"GEPA3","40,11","8,52","1,88","2,624","10,95%","0,957","-35,78","5,30","-2,94","6,24","49,50%","30,80%","0,86","22,91%","22,13%","55.893,40","2.009.910.000,00","0,57","5,51%","Energia Elétrica","Energia Elétrica","DUKE ENERGY INT,GERAÇÃO PARANAPANEMA SA ON","ON"
"CGRA3","27,00","8,56","1,16","1,433","4,59%","0,884","2,32","13,80","2,97","10,69","10,38%","16,75%","3,50","9,23%","13,53%","232.004,00","487.864.000,00","0,00","4,04%","Comércio","Tecidos, Vestuário e Calçados","GRAZZIOTIN ON","ON"
"CPSL3","38,02","8,56","3,49","0,787","0,00%","2,043","7,39","5,79","11,84","5,48","13,59%","9,20%","1,89","57,15%","40,82%","0,00","1.634.730.000,00","0,17","16,21%","","","COPESUL ON","ON"
"SLCE3","21,48","8,61","0,80","1,130","10,32%","0,423","3,90","4,76","-8,22","7,07","23,76%","13,57%","1,40","10,15%","9,25%","8.241.620,00","2.666.660.000,00","0,57","12,62%","Agropecuária","Agricultura","SLC Agricola ON NM","ON NM"
"TMGC12","550,00","8,71","1,12","0,800","0,00%","0,770","4,66","12,27","8,22","10,94","6,52%","9,18%","1,69","8,73%","12,83%","0,00","1.167.010.000,00","0,05","10,49%","Telefonia Móvel","Telefonia Móvel","TELEMIG CELULAR PNF","PNF"
"CGRA4","27,50","8,72","1,18","1,460","4,50%","0,900","2,36","14,06","3,02","10,94","10,38%","16,75%","3,50","9,23%","13,53%","249.020,00","487.864.000,00","0,00","4,04%","Comércio","Tecidos, Vestuário e Calçados","GRAZZIOTIN PN","PN"
"ACES4","94,73","8,74","2,27","1,683","0,00%","1,430","6,37","7,16","20,65","6,50","23,52%","19,27%","2,05","26,90%","25,95%","0,00","3.105.800.000,00","0,09","13,34%","Siderurgia e Metalurgia","Siderurgia","ARCELORMITTAL INOX BRASIL PN","PN"
"ACES3","95,27","8,79","2,28","1,693","0,00%","1,438","6,40","7,20","20,77","6,54","23,52%","19,27%","2,05","26,90%","25,95%","0,00","3.105.800.000,00","0,09","13,34%","Siderurgia e Metalurgia","Siderurgia","ARCELORMITTAL INOX BRASIL ON","ON"
